pref,year,value
山口県,2030,1230324
山口県,2035,1165692
山口県,2040,1099619
山口県,2045,1035661
徳島県,2015,755733
徳島県,2020,723087
徳島県,2025,687680
徳島県,2030,651234
徳島県,2035,613686
徳島県,2040,574474
徳島県,2045,535370
香川県,2015,976263
香川県,2020,951400
香川県,2025,921343
香川県,2030,888509
香川県,2035,853054
香川県,2040,814677
香川県,2045,776478
愛媛県,2015,1385262
愛媛県,2020,1332802
愛媛県,2025,1274128
愛媛県,2030,1212388
愛媛県,2035,1148113
愛媛県,2040,1080610
愛媛県,2045,1012995
高知県,2015,728276
高知県,2020,691090
高知県,2025,652757
高知県,2030,614449
高知県,2035,575728
高知県,2040,536443
高知県,2045,498460
福岡県,2015,5101556
福岡県,2020,5097530
福岡県,2025,5042774
福岡県,2030,4955295
福岡県,2035,4841878
福岡県,2040,4704812
福岡県,2045,4554486
佐賀県,2015,832832
佐賀県,2020,810484
佐賀県,2025,784789
佐賀県,2030,757242
佐賀県,2035,728170
佐賀県,2040,696815
佐賀県,2045,663781
長崎県,2015,1377187
長崎県,2020,1320596
長崎県,2025,1257939
長崎県,2030,1192223
長崎県,2035,1124291
長崎県,2040,1053851
長崎県,2045,982200
熊本県,2015,1786170
熊本県,2020,1742273
熊本県,2025,1691314
熊本県,2030,1635901
熊本県,2035,1576825
熊本県,2040,1511793
熊本県,2045,1442442
大分県,2015,1166338
大分県,2020,1130771
大分県,2025,1089084
大分県,2030,1044038
大分県,2035,996732
大分県,2040,946917
大分県,2045,896653
宮崎県,2015,1104069
宮崎県,2020,1066719
宮崎県,2025,1023170
宮崎県,2030,976626
宮崎県,2035,928034
宮崎県,2040,876863
宮崎県,2045,824806
鹿児島県,2015,1648177
鹿児島県,2020,1583263
鹿児島県,2025,1510970
鹿児島県,2030,1436753
鹿児島県,2035,1361575
鹿児島県,2040,1284036
鹿児島県,2045,1204146
沖縄県,2015,1433566
沖縄県,2020,1459570
沖縄県,2025,1468236
沖縄県,2030,1469847
沖縄県,2035,1465761
沖縄県,2040,1452321
沖縄県,2045,1428305
